city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings,city_state,state_name,average_salary_state,hourly_rate_state,job_count_state,average_salary_city,hourly_rate_city,population,population2010,race_white,race_black,race_ameri_es,race_asian,race_hawaiian_pi,race_hispanic,race_other,race_multi,males,females,age_under_5,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_over_85,median_age,household_count,average_household_size,families_count,average_family_size,house_units_count,vacant_house_count,owner_occupied_house,renter_occupied_house,population_growth
Lincoln,NE,29,6.9,6.9,7.6,0,0.0,0,0,Lincoln-NE,Nebraska,75594,36.34,284,75594,36.34,283989,258379,222331,9824,2073,9773,147,16182,6569,7662,129235,129144,18566,16928,14501,19191,29893,41437,30805,32101,27224,13949,9289,4495,31.9,103546,2.36,60300,3.01,110546,7000,60664,42882,25610
Nashville,TN,30,6.9,6.0,7.2,33,7.1,30,11,Nashville-TN,Tennessee,83521,40.15,551,83521,40.15,672371,601222,363611,170907,2047,18641,376,60390,30431,15209,291294,309928,43176,35967,32247,37428,53252,110541,82538,80970,63600,32886,20182,8435,33.8,249002,2.31,138023,3.03,272622,23620,137843,111159,71149
Boston,MA,31,6.9,7.1,5.7,8,6.9,8,141,Boston-MA,Massachusetts,94404,45.39,1684,94202,45.29,661977,617594,333033,150437,2399,55235,265,107917,51893,24332,295951,321643,32420,26823,26523,49826,88129,128084,77341,70160,56051,32910,20267,9060,31.0,252699,2.26,116244,3.08,272481,19782,85791,166908,44383
Tampa,FL,32,6.9,7.1,5.7,18,6.6,13,15,Tampa-FL,Florida,76936,36.99,1801,76936,36.99,370224,335709,211217,87872,1248,11560,254,77472,12790,10768,164061,171648,21507,20393,20930,26441,28760,51614,46982,47534,34786,19522,12316,4924,34.6,135955,2.38,75768,3.1,157130,21175,70353,65602,34515
Lexington,KY,33,6.9,6.9,7.8,61,6.9,40,1,Lexington-KY,Kentucky,78352,37.67,396,78352,37.67,318319,295803,223999,42972,755,9553,141,20474,10949,7434,145591,150212,19145,17746,16195,20711,30567,49233,39272,39926,31870,16943,9892,4303,33.8,123043,2.3,69661,2.94,135160,12117,68818,54225,22516
Grand Rapids,MI,34,6.9,7.4,8.2,49,7.1,33,0,Grand Rapids-MI,Michigan,86008,41.35,872,86286,41.48,201631,188040,121411,39251,1390,3495,116,29261,14546,7831,91579,96461,15084,12927,11624,13886,20071,32071,21793,22157,17626,9041,7294,4466,31.0,72126,2.49,41015,3.2,80619,8493,40391,31735,13591
Myrtle Beach,SC,35,6.9,6.0,6.0,97,6.4,42,0,Myrtle Beach-SC,South Carolina,77818,37.41,423,77818,37.41,34812,27109,19588,3764,199,399,81,3708,2347,731,13771,13338,1560,1390,1191,1485,2071,4362,3629,3937,3384,2293,1291,516,39.1,12113,2.22,6323,2.86,23262,11149,5903,6210,7703
San Jose,CA,36,6.9,7.6,5.4,46,7.1,19,200,San Jose-CA,California,126682,60.9,3874,138170,66.43,1042940,945942,404437,30242,8297,303138,4017,313636,148749,47062,475668,470274,68610,66285,61881,62973,64386,145310,149089,136394,95772,53340,30079,11823,35.2,301366,3.09,219509,3.54,314038,12672,176216,125150,96998
Dallas,TX,37,6.9,6.4,6.8,27,7.0,38,42,Dallas-TX,Texas,87577,42.1,2563,88720,42.65,1323651,1197816,607415,298993,8099,34263,482,507309,216831,31733,598962,598854,102975,89707,78234,76976,94880,219848,170106,150317,108830,57380,33881,14682,31.9,458057,2.57,265538,3.42,516639,58582,201880,256177,125835
Greenville,SC,38,6.9,6.3,7.9,75,7.0,42,1,Greenville-SC,South Carolina,77818,37.41,423,77818,37.41,67068,58409,37356,17519,148,793,54,3443,1486,1053,28091,30318,3807,3115,2710,3878,5964,10086,7625,7424,6332,3635,2392,1441,34.6,25599,2.08,12827,2.88,29418,3819,11614,13985,8659
